country,year,platform,teen_selected_pct,source
United Kingdom,2021,TikTok,50.0,IFPS Youth Report 2021 (chart extraction)
United Kingdom,2021,Twitter,22.0,IFPS Youth Report 2021 (chart extraction)
United States,2019,Facebook,51.0,IFPS Youth Report 2021 (chart extraction)
United States,2019,Instagram,52.0,IFPS Youth Report 2021 (chart extraction)
United States,2019,Snapchat,50.0,IFPS Youth Report 2021 (chart extraction)
United States,2019,TikTok,32.0,IFPS Youth Report 2021 (chart extraction)
United States,2019,Twitter,24.0,IFPS Youth Report 2021 (chart extraction)
United States,2020,Facebook,58.0,IFPS Youth Report 2021 (chart extraction)
United States,2020,Instagram,59.0,IFPS Youth Report 2021 (chart extraction)
United States,2020,Snapchat,46.0,IFPS Youth Report 2021 (chart extraction)
United States,2020,TikTok,47.0,IFPS Youth Report 2021 (chart extraction)
United States,2020,Twitter,32.0,IFPS Youth Report 2021 (chart extraction)
United States,2021,Facebook,51.0,IFPS Youth Report 2021 (chart extraction)
United States,2021,Instagram,52.0,IFPS Youth Report 2021 (chart extraction)
United States,2021,Snapchat,48.0,IFPS Youth Report 2021 (chart extraction)
United States,2021,TikTok,59.0,IFPS Youth Report 2021 (chart extraction)
United States,2021,Twitter,24.0,IFPS Youth Report 2021 (chart extraction)
