T,Pe_separatrix,safety_basin_depth,harm_basin_depth,kramers_rate,entropy_at_Pe0,entropy_at_Pe80
0.01,,,,,1.1447298858494004,-5.6354838233152655
0.05,,,,,1.1447298858494004,-4.8137237986173975
0.1,,,,,1.1447298858494004,-4.467134917028513
0.2,,,,,1.1447298858494004,-4.120530739931536
0.5,,,,,1.1447298858494004,-3.6622935799148424
1.0,2.5,0.16858615502811503,35.20813630292482,0.8448584714779221,1.1447298858494004,-3.3155668872353883
2.0,5.25,0.9905196600880304,31.763073482004096,0.6094125430354235,1.1447298858494004,-2.968686669864351
5.0,12.5,4.816112250237022,24.04052745092225,0.3816610186579925,1.1447298858494004,-2.5096160809512966
10.0,24.5,13.11787254276339,15.043549818493318,0.26933825001856737,1.1447298858494004,-2.1584376946173416
