month,year,month_num,weighted_O,weighted_R,weighted_alpha,weighted_ORA_sum,hostile_event_count,hostile_signal_raw,hostile_admission_count,hostile_allegation_count,hostile_procedural_count,hostile_signal_decay_3m,hostile_signal_decay_6m,hostile_signal_decay_12m,month_str
2018-01-01,2018,1,1.7944250871080138,2.034843205574913,1.7665505226480835,5.59581881533101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01
2018-02-01,2018,2,1.8000620769754494,2.039123513156314,1.7664644158756857,5.6056500060074494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-02
2018-03-01,2018,3,1.8056990668428852,2.0434038207377148,1.766378309103288,5.615481196683888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-03
2018-04-01,2018,4,1.8113360567103207,2.0476841283191156,1.7662922023308902,5.625312387360326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-04
2018-05-01,2018,5,1.8169730465777563,2.051964435900517,1.7662060955584924,5.635143578036765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-05
2018-06-01,2018,6,1.822610036445192,2.0562447434819178,1.7661199887860948,5.644974768713205,2.0,9.75,1.0,1.0,0.0,9.75,9.75,9.75,2018-06
2018-07-01,2018,7,1.8282470263126276,2.0605250510633186,1.766033882013697,5.654805959389643,0.0,0.0,0.0,0.0,0.0,7.738580128344973,8.686262501868308,9.202774548646511,2018-07
2018-08-01,2018,8,1.8338840161800631,2.0648053586447195,1.765947775241299,5.664637150066081,0.0,0.0,0.0,0.0,0.0,6.142115118237507,7.738580128344972,8.686262501868308,2018-08
2018-09-01,2018,9,1.839521006047499,2.0690856662261203,1.7658616684689015,5.6744683407425205,0.0,0.0,0.0,0.0,0.0,4.875000000000001,6.894291116568837,8.198740048723717,2018-09
2018-10-01,2018,10,1.8451579959149345,2.0733659738075216,1.7657755616965036,5.68429953141896,0.0,0.0,0.0,0.0,0.0,3.869290064172487,6.1421151182375056,7.7385801283449736,2018-10
2018-11-01,2018,11,1.85079498578237,2.0776462813889225,1.7656894549241058,5.694130722095398,0.0,0.0,0.0,0.0,0.0,3.0710575591187546,5.472002485508192,7.304246999773824,2018-11
2018-12-01,2018,12,1.8564319756498058,2.0819265889703233,1.7656033481517082,5.703961912771836,0.0,0.0,0.0,0.0,0.0,2.4375000000000013,4.874999999999998,6.89429111656884,2018-12
2019-01-01,2019,1,1.8620689655172413,2.086206896551724,1.7655172413793103,5.713793103448276,0.0,0.0,0.0,0.0,0.0,1.9346450320862443,4.343131250934152,6.507344289078919,2019-01
2019-02-01,2019,2,1.9026728074319004,2.108132577546843,1.7764958274287515,5.7873012124074945,0.0,0.0,0.0,0.0,0.0,1.5355287795593777,3.8692900641724846,6.142115118237508,2019-02
2019-03-01,2019,3,1.9432766493465596,2.130058258541962,1.7874744134781924,5.860809321366713,0.0,0.0,0.0,0.0,0.0,1.2187500000000009,3.4471455582844177,5.797384685638267,2019-03
2019-04-01,2019,4,1.9838804912612187,2.1519839395370806,1.7984529995276335,5.934317430325933,1.0,5.3999999999999995,1.0,0.0,0.0,6.367322516043122,8.471057559118751,10.872002485508194,2019-04
2019-05-01,2019,5,2.0244843331758777,2.1739096205321995,1.8094315855770744,6.007825539285152,0.0,0.0,0.0,0.0,0.0,5.053747230093827,7.546854320711927,10.26180387348271,2019-05
2019-06-01,2019,6,2.065088175090537,2.1958353015273184,1.8204101716265155,6.081333648244371,0.0,0.0,0.0,0.0,0.0,4.011161834716158,6.723482840314136,9.685853077957834,2019-06
2019-07-01,2019,7,2.105692017005196,2.2177609825224374,1.8313887576759567,6.15484175720359,0.0,0.0,0.0,0.0,0.0,3.1836612580215613,5.989942243874431,9.142227916693317,2019-07
2019-08-01,2019,8,2.146295858919855,2.2396866635175563,1.8423673437253976,6.228349866162809,0.0,0.0,0.0,0.0,0.0,2.526873615046914,5.336431866802398,8.629114091248296,2019-08
2019-09-01,2019,9,2.1868997008345143,2.2616123445126752,1.8533459297748387,6.301857975122028,0.0,0.0,0.0,0.0,0.0,2.0055809173580794,4.754220309577514,8.1447991319289,2019-09
2019-10-01,2019,10,2.227503542749173,2.283538025507794,1.8643245158242796,6.3753660840812465,0.0,0.0,0.0,0.0,0.0,1.591830629010781,4.235528779559374,7.687666682579845,2019-10
