temperature,n_reps,mean_l3_rate,sd_l3_rate,mean_pe,sd_pe,mean_word_count
0.0,3,234.53,96.4,8.15,12.82,16215.0
0.3,3,215.06,66.29,1.14,0.53,11330.0
