state,state_abbr,year,sex,pct_sadness,pct_sadness_lo,pct_sadness_hi,pct_suicide,pct_suicide_lo,pct_suicide_hi,n_sadness,n_suicide
Arizona,AZ,2017,Male,26.33,22.11,31.03,14.01,11.4,17.1,1045,1037
Arizona,AZ,2017,Total,36.39,32.8,40.14,19.15,16.67,21.91,2106,2102
Arizona,AZ,2019,Female,51.6,48.0,55.1,26.5,22.2,31.3,,
Arizona,AZ,2019,Male,29.9,27.0,32.9,15.4,13.2,17.9,,
Arizona,AZ,2019,Total,40.6,37.4,44.0,20.9,18.2,23.8,,
Arizona,AZ,2021,Female,,,,32.4,28.2,37.0,,
Arizona,AZ,2021,Male,,,,14.2,12.3,16.5,,
Arizona,AZ,2021,Total,,,,23.5,20.5,26.7,,
California,CA,2015,Female,38.78,35.42,42.26,24.03,20.16,28.37,992,991
California,CA,2015,Male,20.94,19.1,22.89,11.87,8.41,16.49,923,922
California,CA,2015,Total,29.73,26.86,32.78,17.89,14.35,22.08,1928,1925
California,CA,2017,Female,42.58,38.12,47.16,22.06,18.82,25.68,843,862
California,CA,2017,Male,21.74,18.18,25.78,11.72,9.86,13.87,862,881
California,CA,2017,Total,32.12,29.26,35.12,17.02,15.28,18.93,1717,1756
California,CA,2019,Female,57.1,51.1,62.9,31.1,22.7,40.9,,
California,CA,2019,Male,33.7,25.3,43.3,22.1,11.3,38.5,,
California,CA,2019,Total,45.3,38.8,51.9,26.6,17.0,38.9,,
Colorado,CO,2011,Female,27.08,21.79,33.11,17.54,13.5,22.47,672,633
Colorado,CO,2011,Male,16.94,14.26,19.99,12.06,9.63,15.0,734,678
Colorado,CO,2011,Total,21.89,18.63,25.55,14.76,12.18,17.77,1449,1353
Colorado,CO,2017,Female,40.45,34.02,47.21,21.43,17.94,25.38,706,704
Colorado,CO,2017,Male,22.23,18.97,25.88,12.52,9.91,15.7,760,756
Colorado,CO,2017,Total,31.31,27.04,35.92,16.98,14.45,19.84,1478,1472
Colorado,CO,2019,Female,43.3,37.5,49.4,22.6,19.0,26.7,,
Colorado,CO,2019,Male,24.6,20.2,29.6,14.9,12.2,18.2,,
Colorado,CO,2019,Total,33.8,29.9,38.0,18.8,16.5,21.3,,
Colorado,CO,2021,Female,49.4,42.0,56.9,25.7,19.0,33.7,,
Colorado,CO,2021,Male,34.2,27.7,41.3,18.6,14.3,23.8,,
Colorado,CO,2021,Total,41.7,36.6,47.0,22.3,18.0,27.4,,
Connecticut,CT,2011,Female,31.0,26.84,35.5,17.32,14.65,20.36,1025,1023
Connecticut,CT,2011,Male,18.03,15.21,21.24,11.94,9.4,15.05,990,996
Connecticut,CT,2011,Total,24.38,21.73,27.25,14.58,12.81,16.55,2022,2025
Connecticut,CT,2013,Female,34.93,30.43,39.71,18.1,15.98,20.43,1165,1168
Connecticut,CT,2013,Male,19.74,17.25,22.48,10.94,9.22,12.94,1198,1187
Connecticut,CT,2013,Total,27.15,24.3,30.2,14.48,13.07,16.02,2368,2362
Connecticut,CT,2015,Female,34.69,30.91,38.68,16.27,13.73,19.18,1185,1186
Connecticut,CT,2015,Male,18.54,15.87,21.56,10.37,8.59,12.47,1155,1164
Connecticut,CT,2015,Total,26.62,23.92,29.51,13.39,11.86,15.08,2352,2361
Connecticut,CT,2017,Female,34.84,31.31,38.53,16.81,14.53,19.37,1188,1193
Connecticut,CT,2017,Male,19.21,16.99,21.64,10.33,8.99,11.84,1159,1163
Connecticut,CT,2017,Total,26.9,24.6,29.32,13.5,12.12,15.01,2360,2366
Connecticut,CT,2019,Female,40.5,36.1,44.9,15.9,13.0,19.3,,
Connecticut,CT,2019,Male,21.0,18.2,24.1,9.3,7.4,11.6,,
Connecticut,CT,2019,Total,30.6,27.3,34.0,12.7,10.6,15.0,,
Connecticut,CT,2021,Female,47.6,41.1,54.2,19.8,16.8,23.3,,
Connecticut,CT,2021,Male,24.2,20.8,28.0,8.7,7.4,10.1,,
Connecticut,CT,2021,Total,35.6,31.8,39.7,14.1,12.4,16.1,,
Connecticut,CT,2023,Female,46.5,43.2,49.8,19.4,17.1,22.0,,
Connecticut,CT,2023,Male,23.6,20.9,26.5,11.7,9.9,13.7,,
Connecticut,CT,2023,Total,35.2,33.2,37.3,15.7,14.3,17.1,,
Delaware,DE,2011,Female,34.03,30.21,38.07,16.67,14.14,19.54,1103,1106
Delaware,DE,2011,Male,19.21,16.38,22.39,10.3,8.13,12.97,1149,1147
Delaware,DE,2011,Total,26.77,24.48,29.19,13.48,11.82,15.33,2274,2275
Delaware,DE,2013,Female,30.12,27.25,33.15,15.48,13.4,17.83,1393,1388
Delaware,DE,2013,Male,15.73,13.75,17.94,10.4,8.92,12.1,1263,1270
Delaware,DE,2013,Total,22.93,21.13,24.84,12.82,11.44,14.33,2682,2687
Delaware,DE,2015,Female,32.47,29.28,35.84,17.51,14.79,20.62,1381,1378
Delaware,DE,2015,Male,15.3,13.15,17.73,9.99,8.38,11.87,1299,1292
Delaware,DE,2015,Total,24.25,22.14,26.49,14.03,12.68,15.5,2718,2710
Delaware,DE,2017,Female,36.9,33.68,40.25,21.28,18.05,24.91,1448,1449
Delaware,DE,2017,Male,18.41,16.06,21.02,10.82,8.67,13.43,1355,1354
Delaware,DE,2017,Total,27.59,25.5,29.79,16.09,13.9,18.53,2842,2840
Delaware,DE,2021,Female,50.2,47.3,53.2,26.6,23.7,29.7,,
Delaware,DE,2021,Male,23.3,19.8,27.2,9.4,7.2,12.1,,
Delaware,DE,2021,Total,36.9,34.2,39.7,18.3,16.4,20.4,,
Delaware,DE,2023,Female,46.6,42.3,51.0,24.7,21.8,28.0,,
Delaware,DE,2023,Male,18.9,15.8,22.6,9.8,7.1,13.5,,
Delaware,DE,2023,Total,32.9,29.3,36.7,17.4,14.8,20.5,,
Florida,FL,2011,Female,32.9,30.63,35.25,14.96,13.25,16.86,3216,3215
Florida,FL,2011,Male,18.68,16.98,20.52,9.21,8.16,10.39,2914,2912
Florida,FL,2011,Total,25.71,24.18,27.31,12.08,11.01,13.24,6168,6165
Florida,FL,2013,Female,34.05,31.83,36.35,17.79,16.35,19.33,3049,3048
Florida,FL,2013,Male,17.86,16.33,19.49,10.01,8.82,11.35,2931,2922
Florida,FL,2013,Total,25.82,24.26,27.45,13.95,12.91,15.05,6034,6025
Florida,FL,2015,Female,35.4,33.24,37.61,17.93,16.68,19.26,3177,3167
Florida,FL,2015,Male,17.31,15.62,19.15,9.49,8.33,10.8,3045,3044
Florida,FL,2015,Total,26.39,24.96,27.88,13.83,13.0,14.71,6296,6287
Florida,FL,2017,Female,38.13,36.14,40.15,18.12,16.79,19.52,3106,3107
Florida,FL,2017,Male,17.84,16.42,19.35,9.55,8.4,10.84,2902,2900
Florida,FL,2017,Total,27.85,26.41,29.34,13.77,12.8,14.8,6096,6095
Florida,FL,2019,Female,43.4,41.0,45.8,20.2,18.4,22.2,,
Florida,FL,2019,Male,24.2,22.6,25.8,10.9,9.7,12.3,,
Florida,FL,2019,Total,33.7,32.2,35.2,15.6,14.5,16.6,,
Florida,FL,2021,Female,51.6,47.8,55.3,24.1,21.1,27.3,,
Florida,FL,2021,Male,27.3,25.3,29.5,11.3,9.9,12.8,,
Florida,FL,2021,Total,39.3,36.9,41.8,17.7,16.1,19.4,,
Georgia,GA,2011,Female,38.53,34.77,42.44,19.08,16.08,22.49,941,939
Georgia,GA,2011,Male,22.58,18.53,27.22,11.69,9.03,15.0,993,995
Georgia,GA,2011,Total,30.63,27.53,33.92,15.47,13.38,17.82,1937,1937
Georgia,GA,2013,Female,33.57,30.46,36.83,16.04,13.7,18.69,959,960
Georgia,GA,2013,Male,22.35,19.01,26.09,12.48,9.78,15.79,987,971
Georgia,GA,2013,Total,28.02,25.9,30.24,14.35,12.23,16.76,1957,1941
Georgia,GA,2019,Female,37.7,34.2,41.4,23.2,20.7,25.8,,
Georgia,GA,2019,Male,21.8,19.8,24.0,13.6,10.9,16.7,,
Georgia,GA,2019,Total,29.9,27.0,32.9,18.5,16.2,21.0,,
Georgia,GA,2021,Female,56.7,49.8,63.4,39.7,37.1,42.3,,
Georgia,GA,2021,Male,29.8,23.8,36.6,12.8,8.8,18.3,,
Georgia,GA,2021,Total,43.5,33.0,54.7,26.5,22.4,31.1,,
Hawaii,HI,2011,Female,35.19,31.76,38.78,20.22,18.18,22.41,2283,2323
