time,mean_x_A,mean_x_B,pe_weighted_A,pe_weighted_B,r_A,r_B
3.600000,1.703009,1.554377,1.829108,1.540254,0.155684,0.029128
3.640000,1.693938,1.551679,1.823892,1.539082,0.153080,0.023498
3.680000,1.694049,1.550439,1.816358,1.537241,0.157086,0.030891
3.720000,1.702113,1.550855,1.828344,1.536598,0.142975,0.031934
3.760000,1.708941,1.558693,1.834030,1.542922,0.166912,0.028308
3.800000,1.714862,1.552175,1.842758,1.537459,0.153852,0.023432
3.840000,1.705004,1.553895,1.828486,1.540305,0.161378,0.026818
3.880000,1.704723,1.553161,1.832229,1.537348,0.162718,0.027149
3.920000,1.702250,1.555917,1.830203,1.540268,0.154394,0.023963
3.960000,1.709449,1.557596,1.832612,1.542169,0.147832,0.023711
4.000000,1.699810,1.557659,1.827086,1.540865,0.162490,0.025463
4.040000,1.681614,1.552452,1.816022,1.539720,0.148263,0.023054
4.080000,1.696993,1.554031,1.825842,1.539280,0.161419,0.022918
4.120000,1.704880,1.553264,1.833252,1.539824,0.163745,0.027029
4.160000,1.703177,1.552238,1.828951,1.540104,0.162602,0.030848
4.200000,1.700668,1.558490,1.828723,1.542684,0.161853,0.030072
4.240000,1.707502,1.559126,1.833169,1.544150,0.158904,0.029631
4.280000,1.706240,1.552407,1.831019,1.539053,0.150062,0.024292
4.320000,1.709278,1.557241,1.824907,1.541062,0.150881,0.027291
4.360000,1.706271,1.552090,1.828795,1.536225,0.160025,0.029330
4.400000,1.707090,1.552571,1.834811,1.539175,0.160789,0.022581
4.440000,1.698017,1.555081,1.825527,1.540684,0.161503,0.028445
4.480000,1.714497,1.558698,1.840245,1.543460,0.162838,0.026135
4.520000,1.707241,1.553383,1.827089,1.539098,0.170733,0.029603
4.560000,1.700787,1.552055,1.826204,1.537803,0.166772,0.033393
4.600000,1.696174,1.545546,1.823827,1.533376,0.157160,0.033317
4.640000,1.693258,1.546835,1.821556,1.536174,0.150973,0.023980
4.680000,1.695726,1.557100,1.827999,1.541106,0.147888,0.021244
4.720000,1.681614,1.556286,1.811591,1.542589,0.144075,0.023820
4.760000,1.696045,1.556974,1.824255,1.542313,0.151608,0.028415
4.800000,1.705439,1.547663,1.824973,1.536128,0.158935,0.027225
4.840000,1.719551,1.553514,1.843319,1.541080,0.164948,0.028026
4.880000,1.693484,1.548408,1.824574,1.537301,0.144713,0.029336
4.920000,1.704807,1.563025,1.830214,1.545937,0.149501,0.027722
4.960000,1.687952,1.550562,1.816849,1.536038,0.155645,0.028156
5.000000,1.701949,1.554311,1.831352,1.540513,0.168468,0.020343
5.040000,1.699882,1.554996,1.826298,1.541972,0.151592,0.026050
5.080000,1.708526,1.557130,1.833989,1.542266,0.164497,0.029413
5.120000,1.685145,1.552540,1.817365,1.540235,0.169951,0.031746
5.160000,1.697027,1.560228,1.825523,1.544056,0.153293,0.026427
5.200000,1.701410,1.556523,1.827793,1.542096,0.148320,0.026247
5.240000,1.705519,1.558112,1.830469,1.542985,0.154657,0.026447
5.280000,1.707639,1.555089,1.834286,1.538533,0.144960,0.027119
5.320000,1.713212,1.557003,1.839833,1.538546,0.152251,0.027507
5.360000,1.698936,1.558595,1.827528,1.539321,0.164712,0.028606
5.400000,1.719959,1.566580,1.843603,1.548933,0.155139,0.027124
5.440000,1.691725,1.557409,1.820654,1.541331,0.152593,0.033212
5.480000,1.707874,1.554040,1.837240,1.538349,0.145159,0.024696
5.520000,1.713400,1.552523,1.840119,1.538884,0.151842,0.024174
5.560000,1.710856,1.556894,1.837972,1.540874,0.146065,0.023475
5.600000,1.711422,1.561157,1.838678,1.544740,0.154979,0.024146
5.640000,1.713983,1.554753,1.836683,1.540487,0.148061,0.027699
5.680000,1.711996,1.561492,1.837942,1.545138,0.142052,0.025767
5.720000,1.707799,1.554511,1.835037,1.538500,0.150335,0.026786
5.760000,1.711182,1.561023,1.834998,1.544408,0.165771,0.025387
5.800000,1.715786,1.555093,1.837225,1.540805,0.151037,0.021698
5.840000,1.700440,1.553341,1.819092,1.538667,0.149321,0.024287
5.880000,1.704212,1.552649,1.834277,1.539399,0.148917,0.029017
5.920000,1.710926,1.552113,1.830798,1.538366,0.156182,0.027474
5.960000,1.693125,1.552540,1.820896,1.536397,0.145123,0.023450
6.000000,1.695542,1.557053,1.826820,1.542347,0.160334,0.028371
6.040000,1.684434,1.556798,1.816561,1.542661,0.145134,0.029983
6.080000,1.701435,1.557732,1.832674,1.540928,0.150024,0.028014
6.120000,1.697429,1.554778,1.824929,1.539671,0.152944,0.027062
6.160000,1.701831,1.558383,1.827245,1.541074,0.159438,0.030888
6.200000,1.696907,1.555180,1.827028,1.540372,0.138552,0.022132
6.240000,1.695800,1.554590,1.825275,1.540054,0.150905,0.027011
6.280000,1.694079,1.554663,1.822087,1.536530,0.146654,0.026418
6.320000,1.686408,1.555946,1.814560,1.537787,0.155706,0.029510
6.360000,1.697962,1.557491,1.829017,1.540131,0.157794,0.027350
6.400000,1.710150,1.559100,1.838950,1.539924,0.165927,0.030750
6.440000,1.701995,1.554865,1.825118,1.539011,0.164363,0.023657
6.480000,1.706977,1.552117,1.829138,1.538588,0.154239,0.024732
6.520000,1.722976,1.554590,1.842946,1.538193,0.154638,0.027104
6.560000,1.703325,1.556483,1.830145,1.540007,0.172442,0.034206
6.600000,1.698300,1.556138,1.825129,1.539676,0.159894,0.026063
6.640000,1.693182,1.558581,1.819564,1.540710,0.146964,0.026466
6.680000,1.699228,1.557828,1.826584,1.540959,0.145809,0.028660
6.720000,1.702646,1.557655,1.826035,1.540780,0.141543,0.027755
6.760000,1.688383,1.551052,1.819497,1.538465,0.154707,0.026953
6.800000,1.696775,1.555552,1.821817,1.542752,0.152757,0.024952
6.840000,1.700659,1.555984,1.827895,1.542193,0.146056,0.023655
6.880000,1.696279,1.554768,1.822984,1.538529,0.150051,0.024808
6.920000,1.713571,1.554794,1.830017,1.538771,0.152552,0.026785
6.960000,1.712925,1.549646,1.837187,1.535682,0.152940,0.032753
7.000000,1.717951,1.557688,1.835424,1.542600,0.152534,0.022987
7.040000,1.717308,1.554779,1.841228,1.540330,0.156965,0.027275
7.080000,1.696892,1.553627,1.825662,1.540347,0.157449,0.024957
7.120000,1.709548,1.557682,1.834223,1.541582,0.163315,0.029600
7.160000,1.708232,1.550808,1.830702,1.535451,0.155982,0.033337
7.200000,1.711763,1.560565,1.834718,1.544169,0.147765,0.029464
7.240000,1.682986,1.554103,1.809632,1.536880,0.149602,0.026072
7.280000,1.689335,1.558072,1.822394,1.542172,0.142790,0.022428
7.320000,1.687310,1.553250,1.818661,1.541036,0.163896,0.032689
7.360000,1.719543,1.556727,1.836125,1.541047,0.157212,0.032251
7.400000,1.710731,1.556485,1.833675,1.540002,0.151010,0.022874
7.440000,1.698303,1.551735,1.825863,1.536479,0.154027,0.026615
7.480000,1.712418,1.558101,1.839037,1.540554,0.144966,0.031208
7.520000,1.695736,1.556356,1.823856,1.539216,0.146765,0.034131
7.560000,1.699780,1.558602,1.828303,1.540367,0.149041,0.026204
7.600000,1.687431,1.555384,1.818028,1.539116,0.158439,0.029466
7.640000,1.693380,1.560347,1.823652,1.542364,0.157328,0.025676
7.680000,1.706578,1.560586,1.833817,1.542520,0.159015,0.031086
