time,mean_x_A,mean_x_B,pe_weighted_A,pe_weighted_B,r_A,r_B
15.840000,1.709384,1.558208,1.837086,1.542945,0.149399,0.027692
15.880000,1.702714,1.558205,1.835222,1.542857,0.154627,0.024593
15.920000,1.700343,1.556855,1.833129,1.540268,0.158729,0.025069
15.960000,1.686672,1.555226,1.817399,1.538029,0.148173,0.025244
16.000000,1.695452,1.550258,1.824188,1.538558,0.157164,0.027352
16.040000,1.694886,1.554791,1.824731,1.541987,0.151532,0.024321
16.080000,1.698688,1.556702,1.826136,1.545270,0.160004,0.031715
16.120000,1.693543,1.556509,1.818789,1.542369,0.148012,0.026298
16.160000,1.690139,1.558475,1.820404,1.544715,0.160703,0.029108
16.200000,1.700425,1.552835,1.831242,1.541893,0.156229,0.027985
16.240000,1.697252,1.551071,1.828012,1.541098,0.145578,0.030027
16.280000,1.703600,1.549070,1.830643,1.540013,0.153699,0.034295
16.320000,1.718581,1.554878,1.844575,1.540229,0.147418,0.024621
16.360000,1.713483,1.558787,1.840306,1.543312,0.152126,0.026122
16.400000,1.706389,1.557133,1.832320,1.539936,0.149762,0.031538
16.440000,1.701102,1.557235,1.829964,1.541150,0.155966,0.027032
16.480000,1.710303,1.555446,1.836113,1.540439,0.157022,0.026452
16.520000,1.713340,1.557354,1.835735,1.542585,0.163253,0.028469
16.560000,1.708382,1.560190,1.832418,1.544646,0.158523,0.029214
16.600000,1.698728,1.552613,1.823220,1.536094,0.156092,0.028064
16.640000,1.692249,1.556652,1.819911,1.538613,0.170429,0.030126
16.680000,1.713054,1.554988,1.836725,1.539429,0.159079,0.028030
16.720000,1.711783,1.559101,1.835695,1.541161,0.163865,0.028225
16.760000,1.716284,1.558520,1.841342,1.540617,0.161475,0.025622
16.800000,1.698742,1.555151,1.827688,1.541519,0.160825,0.031017
16.840000,1.713372,1.560283,1.839004,1.546123,0.153662,0.029058
16.880000,1.704913,1.551826,1.834434,1.539363,0.149519,0.026726
16.920000,1.718707,1.548881,1.840527,1.538932,0.162338,0.026319
16.960000,1.716223,1.548192,1.843788,1.535327,0.161281,0.029190
17.000000,1.692181,1.548403,1.822400,1.539079,0.159406,0.026109
17.040000,1.710493,1.557219,1.831554,1.543670,0.153090,0.026804
17.080000,1.719141,1.556757,1.839766,1.543809,0.157394,0.028024
17.120000,1.721249,1.558884,1.844255,1.545545,0.160563,0.029358
17.160000,1.703923,1.552566,1.826113,1.539272,0.154782,0.026169
17.200000,1.706742,1.555105,1.835416,1.540229,0.150096,0.025307
17.240000,1.707549,1.560006,1.835910,1.544917,0.146948,0.026277
17.280000,1.700006,1.554584,1.822770,1.539102,0.150022,0.028259
17.320000,1.689284,1.552996,1.819884,1.537532,0.154314,0.032636
17.360000,1.685661,1.547576,1.817324,1.535078,0.151834,0.033197
17.400000,1.700911,1.553479,1.826866,1.542336,0.147125,0.028415
17.440000,1.696883,1.552958,1.825646,1.538839,0.137933,0.023647
17.480000,1.712866,1.553259,1.838777,1.542010,0.154959,0.027625
17.520000,1.705259,1.555848,1.835446,1.538338,0.145867,0.023780
17.560000,1.706646,1.549497,1.830625,1.534103,0.148315,0.025566
17.600000,1.706485,1.558070,1.835525,1.542879,0.146850,0.027654
17.640000,1.706595,1.556343,1.835827,1.539115,0.144731,0.023775
17.680000,1.690071,1.552813,1.820260,1.538238,0.155698,0.023904
17.720000,1.713282,1.557650,1.835905,1.543115,0.155620,0.032340
17.760000,1.705002,1.552515,1.827661,1.539088,0.161254,0.025643
17.800000,1.725196,1.558559,1.847255,1.545190,0.156004,0.023605
17.840000,1.709875,1.559257,1.833030,1.543859,0.152815,0.027276
17.880000,1.713297,1.553680,1.835600,1.538321,0.152196,0.023552
17.920000,1.691914,1.556047,1.824976,1.542898,0.149052,0.021669
17.960000,1.689600,1.552207,1.821466,1.538012,0.146266,0.019272
18.000000,1.707436,1.558489,1.833416,1.544949,0.152676,0.024606
18.040000,1.719405,1.557296,1.843285,1.540370,0.151577,0.028071
18.080000,1.703019,1.558637,1.830950,1.543329,0.144687,0.026459
18.120000,1.705479,1.555065,1.828844,1.541104,0.134709,0.021658
18.160000,1.697602,1.555435,1.832772,1.540596,0.161256,0.031222
18.200000,1.702206,1.557253,1.829177,1.541210,0.149997,0.027742
18.240000,1.688308,1.553004,1.816458,1.541083,0.146525,0.028056
18.280000,1.692968,1.559587,1.820787,1.543721,0.141681,0.020295
18.320000,1.698378,1.552519,1.828919,1.538410,0.148175,0.022440
18.360000,1.684151,1.551983,1.817328,1.538633,0.149592,0.027130
18.400000,1.681535,1.552040,1.818597,1.540157,0.160856,0.033300
18.440000,1.706421,1.552912,1.833642,1.540685,0.167690,0.028911
18.480000,1.706032,1.557698,1.832099,1.542515,0.154983,0.025553
18.520000,1.699338,1.551525,1.823018,1.539345,0.153098,0.028780
18.560000,1.710385,1.550119,1.830459,1.537425,0.157013,0.027428
18.600000,1.695663,1.556968,1.827776,1.542472,0.139098,0.018525
18.640000,1.688853,1.545821,1.818199,1.533957,0.145269,0.028561
18.680000,1.673632,1.547394,1.806400,1.536163,0.143116,0.023903
18.720000,1.707230,1.557359,1.829755,1.542609,0.142221,0.023714
18.760000,1.691351,1.549136,1.817241,1.536150,0.152964,0.030258
18.800000,1.706707,1.552212,1.833800,1.539155,0.161050,0.028412
18.840000,1.702588,1.551363,1.823138,1.539095,0.159697,0.025816
18.880000,1.698256,1.553106,1.826915,1.539159,0.156392,0.021760
18.920000,1.698319,1.554845,1.823383,1.540946,0.152370,0.025412
18.960000,1.703857,1.555249,1.830778,1.539768,0.151915,0.024394
19.000000,1.705909,1.557536,1.838486,1.541709,0.146469,0.026692
19.040000,1.709812,1.555158,1.835268,1.539469,0.146164,0.023499
19.080000,1.703955,1.556208,1.829058,1.539580,0.157058,0.027161
19.120000,1.705668,1.557087,1.833182,1.540578,0.153879,0.026034
19.160000,1.711514,1.555168,1.838648,1.539081,0.160742,0.025747
19.200000,1.725327,1.564024,1.841037,1.543990,0.147884,0.024185
19.240000,1.715233,1.556134,1.840899,1.539121,0.162119,0.027506
19.280000,1.712224,1.554850,1.832560,1.538817,0.162192,0.031820
19.320000,1.704001,1.555346,1.829476,1.541562,0.150260,0.028759
19.360000,1.706007,1.552670,1.835586,1.540090,0.157908,0.023585
19.400000,1.723163,1.559873,1.845451,1.545786,0.153256,0.027069
19.440000,1.706195,1.553437,1.827295,1.538178,0.155847,0.024445
19.480000,1.700127,1.553813,1.825894,1.540377,0.144145,0.027640
19.520000,1.699457,1.554864,1.828998,1.540343,0.146700,0.029300
19.560000,1.698646,1.556047,1.826482,1.542820,0.149891,0.031321
19.600000,1.716092,1.558155,1.838213,1.542071,0.147148,0.027892
19.640000,1.701973,1.556812,1.820993,1.541048,0.133878,0.028374
19.680000,1.699431,1.554926,1.826341,1.541454,0.154666,0.028159
19.720000,1.696436,1.555915,1.820846,1.540010,0.157647,0.032582
19.760000,1.706837,1.554436,1.834614,1.539930,0.157633,0.031807
19.800000,1.709424,1.557985,1.830919,1.542546,0.166048,0.029845
19.840000,1.711200,1.556339,1.834526,1.540623,0.154073,0.027970
19.880000,1.709326,1.557266,1.834035,1.540341,0.147295,0.023922
19.920000,1.703072,1.556161,1.833725,1.542301,0.142154,0.026557
19.960000,1.698185,1.553602,1.825895,1.539201,0.146371,0.025932
20.000000,1.695217,1.552245,1.822779,1.540019,0.146183,0.029035
